sender_eth_address,receiver_eth_address,ether_value,timestamp
0x50d970f3556dabd44f3569e908ed768293f65dfc,0xabb27ea2dfa405ea1b2a0a5491efa78dd2b55fd9,100.99910, 1612245600
0x50d970f3556dabd44f3569e908ed768293f65dfc,0xabb27ea2dfa405ea1b2a0a5491efa78dd2b55fd9,300.149362208,1612296000
0x50d970f3556dabd44f3569e908ed768293f65dfc,0xc92cb1595dbb84aeeb8cf4108962eb593d8e1dab,4.799782225,1611820800
0x50d970f3556dabd44f3569e908ed768293f65dfc,0xabb27ea2dfa405ea1b2a0a5491efa78dd2b55fd9,5.149362208,1612296000
0x50d970f3556dabd44f3569e908ed768293f65dfc,0x5a364e231d5263d7fad082e2e49f0d23d1b593f0,1.394210342,1612634400
0x50d970f3556dabd44f3569e908ed768293f65dfc,0x7d024ffa259fc257376aace3244fd6a08188ccde,15.5297284,1612130400
0x50d970f3556dabd44f3569e908ed768293f65dfc,0x43b513fc7d02e31b15527b214c6011795dcceec3,14.20990793,1612476000
0x50d970f3556dabd44f3569e908ed768293f65dfc,0x5e758ef32a42ab11328d65f9fb782bf968098d69,3.336129916,1610096400
0x50d970f3556dabd44f3569e908ed768293f65dfc,0x95db5b7c44005994a95e8766550fb64f65727c60,0.885310329,1612094400
0x50d970f3556dabd44f3569e908ed768293f65dfc,0x065975483659f5ab413088734033e411b1fa7cb1,120,1612213200
0x03c58c10fc9bd16291da6cc1ff2a6d3cd0cd4b8f,0x789a0e72b59747666855a8e5f6e61cb7ba53ac6f,5.294944727,1609646400
0x9b3912424f3ca9c2b57cb3854244debb3b529066,0xdfe5367d5cc0e7a081a9574d14077d15a79c7bde,22.23568331,1612270800
0x5b2ef0ba273f2cfa3afe313ab83bf000d45b5f58,0x364a70dcde43269fa05715a0cffc5546d4ed7154,0.596714077,1612771200
0x14067cf54e5e10669a9d11097e70ba78d3002efd,0xf68dc4d045da17c1ed8dc127a50ef34da202c810,3.390025748,1609718400
0xd84322b49045f6bf82ef1fd2b8b68c14c3e1f885,0x026ac4862e04fdec9c46d091a57322f210ef494f,0.768195754,1609934400
0x4f528a4c195b7a53577c9175f105c6dd94d97acb,0x3a253ac14dc3e4b83530e1578352b87fbe0c19fd,1.654258736,1611183600
0x81b2207f5bfc7a84dbd24442ad9d38c9817767df,0xdc3d296425b5f51ca9b6c69b3af53f358bce61d5,8.667496191,1609588800
0xfbcff5afc59304c00a446f1e51ec943a94177523,0x02d4220784f008d08e22c345d59cec80836e581e,3.385963792,1612616400
0xe6f92acb2231fcc4294bc681895b5a2d9c834247,0x06e371fe71a7cc0c140b44f611ebe5dac92cc729,2.837093827,1612674000
0x50a88b1244e07b73c6eea925df9c9bd80437ab08,0x65e563524ccdec12c852149d4026843f29c8d6b6,0.164479509,1609707600
0x759d326c160c94e8cec07887f3dd606540790f0d,0x448e355c615c821cf7f0af7f488304689885142b,4.581499223,1612936800
0x02b17587924647b404352efa41a5ceb545a6b407,0xb0f6e2b3547144e2d9eec43a4986028339522e8c,1.861839932,1609902000
0x34eb24b24ad4580b9d50517a29d55e3419e97f96,0xc3e44dfea167d13ebaa2f34f51958bba7eed08ba,0.457328133,1611460800
0x699fa4d6e131dccb61fcda0807e1bf7c2f52d698,0x9b6ee4e864c1d318111087114fbcdbfd3177c3d3,0.961895375,1609668000
0xd12d3f5c7f996311e352544174a16cfe88068501,0x2edb96c6c528dafe12d061978fbad15ae0748216,2.552312186,1611489600
0x7e90be9852cd785a60d449d35680e5627e4e8489,0x16f5ae15c7c0f301f05a503ddd37514393b742ff,0.798229907,1609603200
0x1303a59306d18c27c72313aaafd81bbcf2eaae34,0x8ffb73adf986100cf2cfde913ded74f45cbfee44,4.084417778,1610229600
0x6b4ea424b13509358dafac1a65176a4b468ae885,0x839c8072a61c6681f7f498722ab97812dd71745d,0.986027665,1610078400
0x1a3522bf2f383c3364b1f62a08490a00b8fc7ace,0xf2214f6abd267c2a02c50822b66c564f79d14a83,4.496235442,1613048400
0x8e211e8512ed01e1a162ceda314d8b86b7cd44b2,0x5da19c40233175852b1825916d0808a0070ef723,2.856771618,1613037600
0x17818685179e8b71e7228c8e83bd6c7eecec4cee,0x7e3e6fc590ca7514b196ea956ef590e2e9f1003a,6.292260596,1612245600
0x8b9ad404fe44c1c541fb9eed75a9ba28caad32f6,0xb61276a27cf811e6a7e41d942c8ff181095a53c1,120,1612353600
0x285e32bec37b4cea047aebf3d1ceff2da8d62429,0x2fc8edeba428d1128a924f8955a0a18714453843,3.910679087,1612972800
0x00f919e2b0d4ee207ba58288febecb02573485b6,0x8ef1ca95e8ed27d4f6cb271c7161605963afa0b5,10.4923192,1610906400
0x02cbf316200253061b4f76ab7c9dfa5f6858efcb,0x5cff194a8228fc23b83f417c8932ef3cc6f0aa1f,0.894161807,1612666800
0x76495d3b8c30663cd274f96337d71d12ebb20ed2,0xf6ccfe6f00a291d6268ba0ef2caee5ec8427cdb4,2.410561987,1609804800
0x674ca36bbac5bf5d2fa9e3487259029db6612e6b,0xf9e46d05bd753a7e7dd57b5e3ab5e87ed64c6074,0.718631169,1612432800
0xa98c35f6ca573be062d5180554fc409b4162ce32,0x5435b421c53aec92d7b8e617acca4eeea964f1fb,2.63075744,1610028000
0x221c04b3feca10dd2c5c19ec6a6a2d08a41e7b99,0x6345ef52837c3ef50df1e52a60d22db0ef37a66d,14.19833072,1613030400
0x8ae02f4ff23ed23defccee0b736115d1ee5ae136,0xfd396dc58cc4bb59f5d7757604ae99c949d8669e,1.634400209,1610298000
0xa89c95f8b341203b1bef109b135cb666e3b4dfab,0xa232de2268aec079b08c7e55a967c6ec09ecd3e3,0.369071386,1612918800
0xdc803fbb847b03bffdb8c003d26a20bfea919c30,0xc0007186da2836e24c3c5bc8e4e0c448744ed1f8,1.602953318,1611579600
0x7bf67db8fe4c4a93c84d1e97e67bf2eef34503ab,0x9f337d56ab8c2a12e7c894f7da6bdbc83ec9287e,4.908189915,1610384400
0xcc7aec11805cc2ec476cb37fafaff9ad1f64fa52,0x4799f30a402509ddc26156bb1afa49b902df0b23,1.287037452,1612501200
